Region,Product,Sales,Units,Month,Year
East,Laptop,52701,65,March,2024
Midwest,Printer,6223,20,June,2024
North,Printer,6937,23,January,2023
Southeast,Keyboard,1292,11,December,2023
West,Laptop,28956,35,September,2022
Southeast,Keyboard,2749,24,April,2024
North,Webcam,10666,109,March,2024
Southeast,Speaker,13980,68,March,2022
Southeast,Laptop,45652,56,March,2022
East,Headphones,15584,101,July,2022
North,Mouse,1130,36,August,2023
Southwest,Laptop,35342,44,July,2022
Midwest,Phone,44976,89,April,2023
South,Mouse,2793,91,July,2024
East,Headphones,5664,33,December,2023
Southwest,Printer,9016,27,February,2022
West,Monitor,15515,62,December,2024
Southwest,Printer,11726,38,May,2022
North,Phone,18767,36,May,2023
Midwest,Webcam,8413,93,August,2023
Midwest,Webcam,3929,34,June,2023
Southwest,Tablet,13397,43,June,2024
Southeast,Mouse,2731,71,May,2022
East,Tablet,17522,58,June,2024
Southwest,Laptop,10606,13,January,2024
Central,Keyboard,8014,91,October,2024
West,Webcam,5826,57,October,2022
Northwest,Phone,21211,41,August,2023
Northwest,Speaker,18562,88,January,2022
Northwest,Tablet,13836,44,October,2023
Central,Printer,11430,37,January,2024
Central,Mouse,1308,13,January,2022
South,Printer,16862,53,August,2024
Midwest,Webcam,8809,96,January,2024
Southwest,Mouse,2405,52,March,2023
Northeast,Phone,53953,106,December,2023
Southeast,Keyboard,3781,39,January,2023
Southeast,Laptop,28177,35,July,2023
Midwest,Speaker,20973,103,January,2022
Midwest,Phone,26814,53,May,2023
Midwest,Mouse,3293,84,October,2022
Northeast,Webcam,7913,80,May,2022
Northwest,Webcam,9030,93,January,2024
South,Phone,26856,52,February,2024
Northeast,Mouse,2463,64,April,2023
Southwest,Monitor,13257,53,February,2024
Central,Headphones,7496,49,August,2024
North,Mouse,3085,77,January,2022
Midwest,Mouse,2993,69,November,2023
East,Webcam,8409,91,November,2024
West,Mouse,1714,57,December,2024
South,Mouse,2222,70,April,2022
East,Tablet,15366,50,August,2024
Northeast,Speaker,12444,61,May,2023
Northwest,Phone,36102,71,September,2022
East,Keyboard,1937,14,June,2024
Southeast,Monitor,19660,77,April,2023
Northeast,Speaker,13517,64,June,2023
South,Headphones,13882,87,October,2023
South,Monitor,4252,15,August,2022
South,Tablet,7280,21,February,2024
East,Monitor,21386,82,December,2024
Northwest,Mouse,1284,25,November,2023
Southeast,Mouse,2657,61,February,2022
West,Keyboard,6465,80,November,2023
Southeast,Monitor,12536,49,November,2022
Northwest,Monitor,22086,88,July,2023
East,Mouse,1723,30,June,2023
Northeast,Headphones,12215,79,July,2024
Northwest,Mouse,827,22,June,2022
West,Speaker,6000,26,September,2024
Midwest,Webcam,9713,98,December,2022
Midwest,Monitor,19508,77,December,2023
Southwest,Keyboard,5479,61,June,2023
North,Tablet,29684,97,April,2024
Southeast,Webcam,4628,48,April,2024
West,Webcam,6006,65,October,2024
South,Keyboard,4246,46,November,2024
Southwest,Monitor,16556,64,May,2022
Midwest,Printer,27940,92,February,2024
Southeast,Phone,9247,18,March,2022
West,Webcam,5434,53,February,2024
Central,Monitor,6696,23,June,2023
North,Printer,20584,68,March,2022
Midwest,Printer,30429,100,August,2024
Central,Monitor,15675,62,August,2023
Southeast,Phone,21423,42,October,2022
Southeast,Webcam,6391,70,September,2023
Northeast,Laptop,55399,69,March,2022
Central,Laptop,42014,52,September,2023
North,Phone,19329,38,August,2022
Southeast,Phone,20444,40,June,2023
South,Tablet,32144,104,November,2024
Central,Printer,32942,107,September,2023
North,Printer,25777,84,February,2023
West,Webcam,5031,47,September,2022
West,Keyboard,4816,52,March,2023
Northeast,Tablet,11692,36,August,2024
West,Monitor,24112,93,May,2023
West,Phone,50790,100,February,2023
Northwest,Speaker,7800,39,October,2023
Southwest,Speaker,21116,103,January,2024
South,Phone,9530,18,April,2024
Northwest,Printer,20532,66,July,2023
Southwest,Phone,47908,94,October,2023
South,Monitor,7086,27,September,2023
Northwest,Webcam,7463,77,February,2022
Midwest,Mouse,1539,45,April,2023
Northeast,Laptop,66832,83,April,2022
North,Printer,20442,66,May,2022
East,Phone,22340,43,September,2024
Midwest,Mouse,1314,18,April,2022
Northeast,Mouse,2936,67,August,2023
South,Phone,43634,87,June,2022
Southwest,Headphones,10130,67,September,2023
East,Mouse,1658,28,April,2024
East,Webcam,10065,105,August,2024
Northeast,Tablet,32246,105,August,2023
Northeast,Keyboard,6099,74,March,2023
South,Monitor,21129,82,December,2022
Southeast,Speaker,5973,27,February,2023
Northwest,Phone,19053,37,April,2023
Central,Speaker,11856,55,July,2024
Southwest,Tablet,16044,52,October,2024
Northeast,Keyboard,6932,82,May,2022
West,Keyboard,5076,63,February,2023
South,Tablet,32437,108,June,2023
Central,Webcam,10222,106,May,2024
Southeast,Speaker,11545,56,December,2024
East,Monitor,14950,56,November,2024
Midwest,Headphones,7757,50,June,2022
North,Monitor,6439,24,December,2023
Central,Tablet,18186,58,February,2023
Southeast,Webcam,2268,21,March,2023
Southeast,Keyboard,5638,64,April,2024
Southwest,Monitor,22597,88,December,2024
South,Phone,49502,99,September,2022
West,Tablet,20291,66,October,2022
North,Speaker,14104,67,December,2024
South,Keyboard,7176,79,May,2023
Midwest,Webcam,4981,49,September,2022
Central,Phone,25473,50,March,2024
East,Webcam,4699,45,June,2023
Southeast,Laptop,63231,78,February,2022
West,Mouse,2114,44,April,2022
Midwest,Keyboard,8714,100,January,2023
Central,Laptop,84092,104,February,2023
North,Tablet,33210,109,June,2024
Northwest,Printer,28770,93,March,2022
Northwest,Monitor,16357,62,August,2023
Southeast,Printer,25378,84,December,2023
Northwest,Headphones,14607,95,August,2022
Northwest,Laptop,19490,24,October,2022
Northeast,Speaker,11700,55,September,2024
Northeast,Mouse,3541,104,June,2023
Northeast,Keyboard,8233,101,July,2023
Midwest,Webcam,1828,19,November,2022
East,Phone,54256,108,September,2023
South,Tablet,31562,102,June,2024
Midwest,Phone,54445,108,April,2023
Northeast,Speaker,3879,19,January,2022
Northeast,Keyboard,2251,22,May,2024
West,Webcam,7974,83,November,2023
Central,Speaker,4875,24,August,2022
East,Headphones,3694,24,December,2024
North,Laptop,64005,80,March,2023
East,Laptop,71322,89,June,2024
East,Phone,43938,86,July,2024
Southwest,Keyboard,5431,64,September,2022
West,Keyboard,6289,76,January,2022
Midwest,Mouse,2683,59,December,2023
Southeast,Keyboard,3862,43,November,2023
West,Monitor,6607,23,December,2023
Southeast,Speaker,2265,10,October,2024
Midwest,Laptop,10362,12,January,2023
Northwest,Tablet,28742,95,August,2022
East,Webcam,4906,54,January,2023
Northwest,Laptop,13467,16,May,2022
Northeast,Keyboard,7785,91,June,2024
North,Webcam,7814,82,December,2022
Northwest,Webcam,3888,37,May,2024
North,Monitor,8507,34,October,2022
North,Speaker,21325,102,August,2024
West,Headphones,15445,99,January,2022
Southwest,Laptop,33694,41,November,2023
Southeast,Laptop,21508,26,August,2024
West,Headphones,7247,48,August,2023
Northwest,Printer,5953,18,May,2022
East,Speaker,13758,66,June,2024
East,Laptop,40860,50,July,2023
Southwest,Mouse,2244,70,September,2022
West,Monitor,3772,13,November,2022
Southwest,Keyboard,6979,78,July,2024
Midwest,Mouse,2520,83,November,2022
West,Phone,53691,106,July,2023
North,Phone,21502,43,January,2022
Midwest,Mouse,2979,68,March,2022
South,Mouse,3627,99,November,2022
Southwest,Speaker,12348,60,February,2022
Southwest,Speaker,19413,94,May,2022
East,Webcam,4547,40,December,2022
Northwest,Tablet,7522,22,September,2024
West,Mouse,2859,67,June,2022
Central,Headphones,3220,20,October,2024
West,Headphones,3394,20,July,2023
Southeast,Speaker,7921,35,February,2024
Northwest,Keyboard,5077,51,November,2022
South,Webcam,5596,54,August,2024
Northeast,Keyboard,9154,104,March,2024
Northwest,Speaker,4660,21,July,2022
Northwest,Tablet,9522,31,May,2024
South,Printer,32123,106,April,2023
Midwest,Printer,5250,17,February,2023
Northwest,Phone,8089,16,November,2024
East,Tablet,3916,10,April,2024
Northwest,Phone,15156,30,September,2023
Northeast,Phone,40610,80,January,2022
Northeast,Printer,8372,27,October,2024
Southwest,Speaker,4035,20,February,2023
West,Monitor,26603,103,March,2022
Southwest,Webcam,2693,20,February,2023
Southeast,Phone,41440,82,August,2024
East,Webcam,5006,52,February,2022
West,Printer,26187,86,August,2023
Northwest,Speaker,20575,100,March,2023
East,Speaker,22598,108,October,2022
Northwest,Monitor,7362,29,July,2024
Central,Printer,18516,60,February,2024
Southeast,Headphones,3468,19,April,2024
North,Tablet,33077,108,April,2023
East,Phone,47252,93,February,2022
West,Tablet,11539,38,January,2022
Southwest,Headphones,11669,72,August,2022
East,Printer,12535,39,April,2022
Northeast,Printer,23473,75,January,2024
Central,Keyboard,2282,28,December,2024
Southeast,Speaker,17103,82,August,2022
West,Headphones,6673,40,November,2022
Midwest,Laptop,51911,64,June,2022
Central,Headphones,13554,90,December,2023
